DATE,BTC_LAST,BTC_LOW,BTC_HIGH,BTC_RETURN,FUT_LAST,FUT_LOW,FUT_HIGH,FUT_RETURN
1/1/2019,3720.6,3645.66,3745.6,,3650,3600,3810,
1/2/2019,3884.98,3708.67,3899.58,0.0432,3830,3685,3855,0.0481
1/3/2019,3794.92,3762.38,3916.72,-0.0235,3760,3710,3870,-0.0184
1/4/2019,3833.53,3731.55,3849.67,0.0101,3745,3690,3875,-0.0040
1/7/2019,4005.34,3969.85,4077.21,0.0438,3985,3945,4070,0.0621
1/8/2019,4000.42,3951.74,4109.33,-0.0012,3985,3925,4095,0.0000
1/9/2019,4003.99,3966.42,4041.45,0.0009,3990,3950,4030,0.0013
1/10/2019,4003.99,3574.62,4034.82,0.0000,3605,3525,4020,-0.1015
1/11/2019,4003.99,3587.52,3695.22,0.0000,3635,3560,3685,0.0083
1/14/2019,3663.59,3486.56,3709.91,-0.0888,3650,3400,3700,0.0041
1/15/2019,3568.48,3549.63,3685.11,-0.0263,3535,3490,3665,-0.0320
1/16/2019,3568.48,3567.96,3667.83,0.0000,3560,3545,3645,0.0070
1/17/2019,3568.48,3545.44,3658.59,0.0000,3605,3515,3645,0.0126
1/18/2019,3568.48,3579.52,3649.82,0.0000,3585,3540,3630,-0.0056
1/22/2019,3574.52,3436.4,3611.22,0.0017,3580,3390,3620,-0.0014
1/23/2019,3544.51,3522.22,3612.37,-0.0084,3535,3510,3615,-0.0126
1/24/2019,3570.93,3529.18,3595.2,0.0074,3565,3520,3590,0.0085
1/25/2019,3558.51,3512.82,3578.1,-0.0035,3560,3510,3580,-0.0014
1/28/2019,3541.27,3375.7,3552.36,-0.0049,3380,3325,3515,-0.0519
1/29/2019,3401.14,3343.77,3440.72,-0.0404,3370,3300,3395,-0.0030
1/30/2019,3432.64,3372.96,3458.86,0.0092,3410,3345,3435,0.0118
1/31/2019,3417.04,3396.17,3472.07,-0.0046,3395,3365,3455,-0.0044
2/1/2019,3448.51,3374.67,3456.01,0.0092,3425,3345,3440,0.0088
2/4/2019,3417.03,3386.67,3435.91,-0.0092,3395,3375,3415,-0.0088
2/5/2019,3422.6,3398.45,3430.34,0.0016,3400,3380,3415,0.0015
2/6/2019,3366.32,3338.58,3443.33,-0.0166,3340,3310,3420,-0.0178
2/7/2019,3358.91,3353,3381.62,-0.0022,3340,3335,3370,0.0000
2/8/2019,3594.91,3343.27,3707.33,0.0679,3615,3325,3730,0.0791
2/11/2019,3591.59,3578.58,3653.65,-0.0009,3605,3580,3650,-0.0028
2/12/2019,3576.31,3550.83,3618.2,-0.0043,3605,3550,3625,0.0000
2/13/2019,3571.42,3561.4,3628.96,-0.0014,3570,3555,3630,-0.0098
2/14/2019,3570.02,3537.09,3589.52,-0.0004,3565,3530,3595,-0.0014
2/15/2019,3564.79,3547.14,3614.87,-0.0015,3565,3545,3620,0.0000
2/18/2019,3852.25,3565.6,3916.08,0.0776,3565,3545,3620,0.0000
2/19/2019,3887.89,3830.26,3970.22,0.0092,3935,3595,3970,0.0987
2/20/2019,3912.98,3865.94,3962.16,0.0064,3935,3870,3965,0.0000
2/21/2019,3897.72,3868.03,3986.41,-0.0039,3895,3855,3985,-0.0102
2/22/2019,3941.75,3885.69,3955.89,0.0112,3931,3885,3955,0.0092
2/25/2019,3805.67,3728.84,3859.93,-0.0351,3820,3705,3845,-0.0286
2/26/2019,3790.19,3765.89,3830.6,-0.0041,3775,3745,3820,-0.0119
2/27/2019,3749.38,3659.76,3823.43,-0.0108,3710,3620,3815,-0.0174
2/28/2019,3802.53,3742.36,3884,0.0141,3790,3745,3875,0.0213
3/1/2019,3828.22,3783.01,3843.26,0.0067,3820,3780,3830,0.0079
3/4/2019,3699.76,3671.32,3805.17,-0.0341,3690,3660,3795,-0.0346
3/5/2019,3833.97,3682.26,3871.33,0.0356,3835,3655,3865,0.0385
3/6/2019,3845.71,3810.21,3892.22,0.0031,3840,3810,3900,0.0013
3/7/2019,3871.42,3830.24,3889.55,0.0067,3870,3830,3890,0.0078
3/8/2019,3868.84,3848.8,3910.41,-0.0007,3890,3845,3920,0.0052
3/11/2019,3847.91,3816.5,3912.65,-0.0054,3835,3810,3915,-0.0142
3/12/2019,3865.41,3798.84,3876.23,0.0045,3845,3790,3880,0.0026
3/13/2019,3852.32,3826.48,3872.27,-0.0034,3845,3820,3870,0.0000
3/14/2019,3851.57,3787.91,3901.1,-0.0002,3845,3775,3905,0.0000
3/15/2019,3897.41,3846.2,3908.28,0.0118,3900,3845,3910,0.0142
3/18/2019,3971.19,3935.17,4015.31,0.0188,3960,3935,4025,0.0153
3/19/2019,3991.47,3949.84,4009.6,0.0051,3995,3950,4015,0.0088
3/20/2019,4009.47,3964.37,4018.69,0.0045,4010,3965,4020,0.0037
3/21/2019,3973.24,3920.1,4056.22,-0.0091,3965,3900,4060,-0.0113
3/22/2019,3977.74,3960.7,3999.34,0.0011,3980,3955,3995,0.0038
3/25/2019,3887.56,3859.15,3978.79,-0.0229,3890,3845,3970,-0.0229
3/26/2019,3912.6,3881.27,3922.02,0.0064,3905,3870,3910,0.0038
3/27/2019,4008.98,3908.46,4032.44,0.0243,4005,3900,4030,0.0253
3/28/2019,4010.76,3993.97,4036.61,0.0004,4005,3990,4030,0.0000
3/29/2019,4072.16,3999.8,4100.99,0.0152,4075,4000,4105,0.0173
4/1/2019,4126.69,4052.2,4148.24,0.0133,4125,4040,4145,0.0122
4/2/2019,4802.47,4125.9,5078.52,0.1517,4775,4130,5095,0.1463
4/3/2019,5296,4783.12,5316.24,0.0978,5150,4810,5325,0.0756
4/4/2019,4847.05,4782.75,5344.52,-0.0886,4840,4780,5275,-0.0621
4/5/2019,4999.01,4839.03,5066.88,0.0309,5020,4890,5070,0.0365
4/8/2019,5252.89,5111.77,5349.17,0.0495,5210,5130,5370,0.0371
4/9/2019,5220.08,5146.71,5311.4,-0.0063,5220,5150,5320,0.0019
4/10/2019,5302.92,5158.58,5460.45,0.0157,5415,5160,5480,0.0367
4/11/2019,5054.03,4970.92,5342.98,-0.0481,5075,4965,5355,-0.0648
4/12/2019,5042.54,4913.32,5117.32,-0.0023,5065,4900,5125,-0.0020
4/15/2019,5021.53,4948.63,5191.48,-0.0042,5010,4945,5200,-0.0109
4/16/2019,5185.02,5008.78,5229.42,0.0320,5200,5025,5235,0.0372
4/17/2019,5221.26,5175.53,5270.61,0.0070,5235,5185,5285,0.0067
4/18/2019,5308.57,5205.05,5314.31,0.0166,5295,5205,5325,0.0114
4/19/2019,5269.97,5196.66,5357.73,-0.0073,5295,5205,5325,0.0000
4/22/2019,5365.89,5232.52,5440.01,0.0180,5395,5255,5450,0.0187
4/23/2019,5580.07,5357.04,5642.73,0.0391,5590,5375,5665,0.0355
4/24/2019,5435.81,5375.16,5621.51,-0.0262,5435,5370,5625,-0.0281
4/25/2019,5495.18,5376.13,5510.16,0.0109,5490,5380,5510,0.0101
4/26/2019,5097.52,4983.75,5499.96,-0.0751,5162,4945,5400,-0.0616
4/29/2019,5129.68,5074.93,5188.44,0.0063,5140,5070,5185,-0.0043
4/30/2019,5237.87,5100.01,5287.5,0.0209,5230,5090,5285,0.0174
5/1/2019,5307.8,5236.8,5357.41,0.0133,5300,5250,5350,0.0133
5/2/2019,5405.46,5289.65,5421.01,0.0182,5390,5280,5415,0.0168
5/3/2019,5689.05,5366.37,5795.5,0.0511,5670,5355,5800,0.0506
5/6/2019,5693.95,5565.98,5780.79,0.0009,5745,5565,5795,0.0131
5/7/2019,5844.63,5676.75,5966.77,0.0261,5845,5685,5985,0.0173
5/8/2019,5900.67,5665.28,5912.38,0.0095,5900,5640,5915,0.0094
5/9/2019,6080.72,5853.31,6096.6,0.0301,6065,5850,6120,0.0276
5/10/2019,6291.33,6078.77,6426.43,0.0340,6365,6110,6430,0.0483
5/13/2019,7864.38,6866.69,7970.45,0.2232,7950,6870,8030,0.2224
5/14/2019,7719.93,7615.89,8331.38,-0.0185,7780,7630,8385,-0.0216
5/15/2019,8171.07,7626.76,8264.9,0.0568,8225,7815,8300,0.0556
5/16/2019,7676.51,7676.02,8386.13,-0.0624,7875,7725,8445,-0.0435
5/17/2019,7106.31,6631.91,7956.98,-0.0772,7180,6320,7990,-0.0924
